CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
120000,Man,IC,11,11,7,Less than bachelor's
130000,Man,IC,35,9,20,Bachelor's
90000,Man,IC,7,19,4,Bachelor's
64000,Man,IC,24,7,4,Bachelor's
107500,Man,IC,5,10,4,Bachelor's
150000,Man,Manager,14,18,12,PhD
92000,Man,IC,15,18,11,Master's
90000,Woman,IC,3,21,3,Bachelor's
82000,Man,IC,8,14,4,Bachelor's
115000,Man,IC,21,9,11,Bachelor's
60000,Man,IC,20,12,13,Bachelor's
125000,Woman,IC,19,16,14,Bachelor's
125000,Man,IC,14,10,4,Bachelor's
84000,Man,IC,16,20,13,Master's
89000,Man,IC,15,10,7,Bachelor's
150000,Man,IC,14,12,11,Bachelor's
62100,Man,IC,6,NA,1,Bachelor's
82000,Man,IC,6,26,4,Bachelor's
75000,Man,IC,5,16,3,Master's
170000,Man,IC,40,17,34,Bachelor's
40000,Man,IC,3,23,2,Less than bachelor's
85000,Man,Manager,13,16,5,Bachelor's
120000,Man,IC,35,13,30,Bachelor's
155000,Man,IC,15,10,14,Master's
1e+05,Man,Manager,30,12,22,Less than bachelor's
69000,Man,IC,2,15,1,Bachelor's
83000,Man,IC,6,11,3,Bachelor's
140000,Man,IC,34,16,25,Bachelor's
80000,Man,IC,18,12,11,Bachelor's
88000,Man,IC,14,12,7,Bachelor's
61000,Man,IC,13,13,6,Bachelor's
180000,Man,IC,25,8,22,Bachelor's
1e+05,Man,IC,20,13,8,Bachelor's
105000,Man,IC,25,13,14,PhD
155000,Man,IC,20,8,18,Bachelor's
115000,Man,IC,8,9,7,Bachelor's
1e+05,Man,IC,5,23,3,Bachelor's
2e+05,Man,IC,24,17,20,Master's
2e+05,Man,IC,20,16,18,Bachelor's
160000,Man,IC,11,15,8,Less than bachelor's
135000,Man,IC,6,18,2,Bachelor's
75000,Man,IC,8,14,2,Master's
78000,Man,IC,12,12,6,Bachelor's
85000,Man,IC,5,14,5,Less than bachelor's
130000,Man,IC,14,14,14,PhD
63000,Man,Manager,10,14,2,Less than bachelor's
46000,Woman,IC,2,12,2,Bachelor's
1e+05,Man,IC,7,15,4,Bachelor's
165000,Man,IC,15,20,13,Bachelor's
160000,Woman,IC,26,17,24,Bachelor's
75000,Man,IC,4,36,2,Bachelor's
106000,Man,IC,11,14,4,Bachelor's
105000,Man,IC,6,9,6,Master's
135000,Man,IC,27,13,15,Bachelor's
72000,Man,IC,3,16,1,Bachelor's
89000,Man,IC,28,8,23,Bachelor's
125000,Man,IC,10,8,10,Bachelor's
105000,Man,IC,7,18,4,Bachelor's
155000,Woman,IC,12,17,7,Bachelor's
150000,Man,IC,27,18,20,Bachelor's
60000,Man,IC,6,16,1,Bachelor's
60000,Man,IC,10,11,5,Bachelor's
1e+05,Man,IC,5,18,2,Bachelor's
71000,Man,IC,11,14,5,Bachelor's
132000,Man,IC,20,14,14,Less than bachelor's
120000,Man,IC,5,13,2,Bachelor's
107000,Man,IC,17,34,13,Master's
96000,Man,IC,11,19,10,Bachelor's
102000,Man,IC,6,28,6,Bachelor's
330000,Man,IC,10,13,6,Bachelor's
190000,Man,IC,9,16,2,Bachelor's
97000,Man,Manager,35,10,21,Less than bachelor's
105000,Woman,IC,12,16,8,Bachelor's
74000,Man,IC,7,11,5,Less than bachelor's
190000,Man,IC,16,16,9,Master's
75000,Man,IC,11,10,3,PhD
85000,Man,IC,6,18,6,Bachelor's
120000,Man,IC,9,12,4,Bachelor's
68000,Woman,IC,5,19,3,Bachelor's
270000,Man,Manager,37,5,34,Less than bachelor's
