CompTotal	Education
100000.0	Less than bachelor's
165000.0	Master's
230000.0	Less than bachelor's
65000.0	Bachelor's
130000.0	Master's
75000.0	Bachelor's
170000.0	Bachelor's
50000.0	Master's
46000.0	Bachelor's
95000.0	Less than bachelor's
120000.0	Bachelor's
144200.0	Bachelor's
150000.0	Bachelor's
115000.0	Less than bachelor's
93000.0	Less than bachelor's
93000.0	Master's
440000.0	Bachelor's
110000.0	Bachelor's
58000.0	Bachelor's
95000.0	Bachelor's
157500.0	Bachelor's
130000.0	Master's
92000.0	PhD
77000.0	Bachelor's
72000.0	Master's
140000.0	Less than bachelor's
115000.0	Bachelor's
65000.0	Less than bachelor's
147500.0	Bachelor's
75000.0	Professional
95000.0	Less than bachelor's
70000.0	Master's
149000.0	Bachelor's
125000.0	Bachelor's
96000.0	Bachelor's
215000.0	Bachelor's
120000.0	Bachelor's
138000.0	Master's
121000.0	PhD
133000.0	Bachelor's
84000.0	Bachelor's
106000.0	Master's
45000.0	Bachelor's
73000.0	Bachelor's
65000.0	Bachelor's
110000.0	Bachelor's
50000.0	Less than bachelor's
85000.0	Bachelor's
200000.0	Bachelor's
93000.0	Bachelor's
200000.0	Less than bachelor's
100000.0	Bachelor's
110000.0	Less than bachelor's
93000.0	Master's
94000.0	Bachelor's
160000.0	Bachelor's
260000.0	Less than bachelor's
89000.0	Bachelor's
140000.0	Less than bachelor's
172000.0	Bachelor's
70000.0	Bachelor's
200000.0	Bachelor's
125000.0	Bachelor's
70000.0	Bachelor's
70452.0	Bachelor's
104000.0	Bachelor's
155000.0	Master's
140000.0	Bachelor's
85000.0	Bachelor's
150000.0	Bachelor's
1013001.0	Bachelor's
91000.0	Master's
102000.0	Less than bachelor's
64000.0	Bachelor's
58000.0	Bachelor's
96000.0	Bachelor's
84000.0	Bachelor's
400000.0	Less than bachelor's
100000.0	Master's
65000.0	Less than bachelor's
130000.0	Bachelor's
130000.0	Bachelor's
75000.0	PhD
105000.0	Master's
145000.0	Bachelor's
130000.0	Bachelor's
