company	date	price
AMZN	2021-01-14	3127.469971
AMZN	2021-01-15	3104.25
AMZN	2021-01-19	3120.76001
AMZN	2021-01-20	3263.379883
AMZN	2021-01-21	3306.98999
AMZN	2021-01-22	3292.22998
AMZN	2021-01-25	3294
AMZN	2021-01-26	3326.129883
AMZN	2021-01-27	3232.580078
AMZN	2021-01-28	3237.620117
AMZN	2021-01-29	3206.199951
AMZN	2021-02-01	3342.879883
AMZN	2021-02-02	3380
AMZN	2021-02-03	3312.530029
AMZN	2021-02-04	3331
AMZN	2021-02-05	3352.149902
AMZN	2021-02-08	3322.939941
AMZN	2021-02-09	3305
AMZN	2021-02-10	3286.580078
AMZN	2021-02-11	3262.129883
AMZN	2021-02-12	3277.709961
AMZN	2021-02-16	3268.949951
AMZN	2021-02-17	3308.639893
AMZN	2021-02-18	3328.22998
AMZN	2021-02-19	3249.899902
AMZN	2021-02-22	3180.73999
AMZN	2021-02-23	3194.5
AMZN	2021-02-24	3159.530029
AMZN	2021-02-25	3057.159912
AMZN	2021-02-26	3092.929932
AMZN	2021-03-01	3146.139893
AMZN	2021-03-02	3094.530029
AMZN	2021-03-03	3005
AMZN	2021-03-04	2977.570068
AMZN	2021-03-05	3000.459961
AMZN	2021-03-08	2951.949951
AMZN	2021-03-09	3062.850098
AMZN	2021-03-10	3057.639893
AMZN	2021-03-11	3113.590088
AMZN	2021-03-12	3089.48999
AMZN	2021-03-15	3081.679932
AMZN	2021-03-16	3091.860107
AMZN	2021-03-17	3135.72998
AMZN	2021-03-18	3027.98999
AMZN	2021-03-19	3074.959961
AMZN	2021-03-22	3110.870117
AMZN	2021-03-23	3137.5
AMZN	2021-03-24	3087.070068
AMZN	2021-03-25	3046.26001
AMZN	2021-03-26	3052.030029
AMZN	2021-03-29	3075.72998
AMZN	2021-03-30	3055.290039
AMZN	2021-03-31	3094.080078
AMZN	2021-04-01	3161
AMZN	2021-04-05	3226.72998
AMZN	2021-04-06	3223.820068
AMZN	2021-04-07	3279.389893
AMZN	2021-04-08	3299.300049
AMZN	2021-04-09	3372.199951
AMZN	2021-04-12	3379.389893
AMZN	2021-04-13	3400
AMZN	2021-04-14	3333
NFLX	2020-01-02	329.809998
NFLX	2020-01-03	325.899994
NFLX	2020-01-06	335.829987
NFLX	2020-01-07	330.75
NFLX	2020-01-08	339.26001
NFLX	2020-01-09	335.660004
NFLX	2020-01-10	329.049988
NFLX	2020-01-13	338.920013
NFLX	2020-01-14	338.690002
NFLX	2020-01-15	339.070007
NFLX	2020-01-16	338.619995
NFLX	2020-01-17	339.670013
NFLX	2020-01-21	338.109985
NFLX	2020-01-22	326
NFLX	2020-01-23	349.600006
NFLX	2020-01-24	353.160004
NFLX	2020-01-27	342.880005
NFLX	2020-01-28	348.519989
NFLX	2020-01-29	343.160004
NFLX	2020-01-30	347.73999
NFLX	2020-01-31	345.089996
NFLX	2020-02-03	358
NFLX	2020-02-04	369.01001
NFLX	2020-02-05	369.670013
NFLX	2020-02-06	366.950012
NFLX	2020-02-07	366.769989
NFLX	2020-02-10	371.070007
NFLX	2020-02-11	373.690002
NFLX	2020-02-12	380.01001
NFLX	2020-02-13	381.399994
NFLX	2020-02-14	380.399994
NFLX	2020-02-18	387.779999
NFLX	2020-02-19	386.190002
NFLX	2020-02-20	386
NFLX	2020-02-21	380.070007
NFLX	2020-02-24	368.700012
NFLX	2020-02-25	360.089996
